,encode,set_num,ign_len,rep_time,data_block_delta,similarity,label
0,000001111,1,0,18.0,1.0,0.12309149097933275,0
1,000010111,1,0,20.0,4.0,0.015075567228888182,0
2,000011011,2,0,12.0,0.5,0.25835675968659555,0
3,000011101,1,0,18.0,1.0,0.13483997249264842,0
4,000011110,1,0,18.0,1.0,0.15075567228888181,0
5,000011111,1,0,18.0,1.0,0.13483997249264842,0
6,000100111,1,0,39.0,3.0,0.012909944487358058,0
7,000101011,2,0,12.0,0.5,0.25363152238076525,0
8,000101101,1,0,18.0,1.0,0.12309149097933275,0
9,000101110,1,0,18.0,1.0,0.15075567228888181,0
10,000101111,1,0,18.0,1.0,0.12309149097933275,0
11,000110011,2,0,15.5,2.5,0.0304232614454664,0
12,000110101,1,0,32.0,4.0,0.013483997249264842,0
13,000110110,1,0,23.0,3.0,0.0158113883008419,0
14,000110111,1,0,20.0,4.0,0.013483997249264842,0
15,000111001,2,0,12.0,0.5,0.25835675968659555,0
16,000111010,2,0,12.0,0.5,0.2647580514910147,0
17,000111011,2,0,12.0,0.5,0.25835675968659555,0
18,000111100,1,0,18.0,1.0,0.15075567228888181,0
19,000111101,1,0,18.0,1.0,0.13483997249264842,0
20,000111110,1,0,18.0,1.0,0.15075567228888181,0
21,000111111,1,0,18.0,1.0,0.13483997249264842,0
22,001000111,1,0,22.0,3.0,0.012909944487358058,0
23,001001011,2,0,12.0,0.5,0.25363152238076525,0
24,001001101,1,0,18.0,1.0,0.12309149097933275,0
25,001001110,1,0,18.0,1.0,0.15075567228888181,0
26,001001111,1,0,18.0,1.0,0.12309149097933275,0
27,001010011,3,0,13.666666666666666,2.0,0.043852400336529186,0
28,001010101,1,0,32.0,4.0,0.013483997249264842,0
29,001010110,1,0,23.0,3.0,0.0158113883008419,0
30,001010111,1,0,20.0,4.0,0.013483997249264842,0
31,001011001,2,0,12.0,0.5,0.25835675968659555,0
32,001011010,2,0,12.0,0.5,0.2647580514910147,0
33,001011011,2,0,12.0,0.5,0.25835675968659555,0
34,001011100,1,0,18.0,1.0,0.15075567228888181,0
35,001011101,1,0,18.0,1.0,0.13483997249264842,0
36,001011110,1,0,18.0,1.0,0.15075567228888181,0
37,001011111,1,0,18.0,1.0,0.13483997249264842,0
38,001100011,3,0,14.666666666666666,1.6666666666666667,0.05018335517635409,1
39,001100101,1,0,34.0,3.0,0.012909944487358058,0
40,001100110,1,0,39.0,3.0,0.018257418583505543,0
41,001100111,1,0,22.0,3.0,0.012909944487358058,0
42,001101001,2,0,12.0,0.5,0.25363152238076525,0
43,001101010,2,0,12.0,0.5,0.2647580514910147,0
44,001101011,2,0,12.0,0.5,0.25363152238076525,0
45,001101100,1,0,18.0,1.0,0.15075567228888181,0
46,001101101,1,0,18.0,1.0,0.12309149097933275,0
47,001101110,1,0,18.0,1.0,0.15075567228888181,0
48,001101111,1,0,18.0,1.0,0.12309149097933275,0
49,001110001,2,0,21.5,2.5,0.0304232614454664,0
50,001110010,2,0,17.0,2.0,0.031249999999999993,0
51,001110011,2,0,15.5,2.5,0.0304232614454664,0
52,001110100,1,0,36.0,2.0,0.021821789023599242,0
53,001110101,1,0,32.0,4.0,0.013483997249264842,0
54,001110110,1,0,23.0,3.0,0.0158113883008419,0
55,001110111,1,0,20.0,4.0,0.013483997249264842,0
56,001111000,2,0,12.0,0.5,0.2647580514910147,0
57,001111001,2,0,12.0,0.5,0.25835675968659555,0
58,001111010,2,0,12.0,0.5,0.2647580514910147,0
59,001111011,2,0,12.0,0.5,0.25835675968659555,0
60,001111100,1,0,18.0,1.0,0.15075567228888181,0
61,001111101,1,0,18.0,1.0,0.13483997249264842,0
62,001111110,1,0,18.0,1.0,0.15075567228888181,0
63,001111111,1,0,18.0,1.0,0.13483997249264842,0
64,010000111,1,0,40.0,8.0,0.012309149097933276,0
65,010001011,2,0,12.0,0.5,0.25363152238076525,0
66,010001101,1,0,18.0,1.0,0.12309149097933275,0
67,010001110,1,0,18.0,1.0,0.15075567228888181,0
68,010001111,1,0,18.0,1.0,0.12309149097933275,0
69,010010011,3,0,13.666666666666666,2.0,0.04427915312349046,0
70,010010101,1,0,32.0,4.0,0.015075567228888182,0
71,010010110,1,0,23.0,3.0,0.022360679774997897,0
72,010010111,1,0,20.0,4.0,0.015075567228888182,0
73,010011001,2,0,12.0,0.5,0.25835675968659555,0
74,010011010,2,0,12.0,0.5,0.2647580514910147,0
75,010011011,2,0,12.0,0.5,0.25835675968659555,0
76,010011100,1,0,18.0,1.0,0.15075567228888181,0
77,010011101,1,0,18.0,1.0,0.13483997249264842,0
78,010011110,1,0,18.0,1.0,0.15075567228888181,0
79,010011111,1,0,18.0,1.0,0.13483997249264842,0
80,010100011,3,0,20.333333333333332,1.6666666666666667,0.05018335517635409,1
81,010100101,1,0,51.0,3.0,0.012909944487358058,0
82,010100110,1,0,57.0,3.0,0.022360679774997897,0
83,010100111,1,0,39.0,3.0,0.012909944487358058,0
84,010101001,2,0,12.0,0.5,0.25363152238076525,0
85,010101010,2,0,12.0,0.5,0.2647580514910147,0
86,010101011,2,0,12.0,0.5,0.25363152238076525,0
87,010101100,1,0,18.0,1.0,0.15075567228888181,0
88,010101101,1,0,18.0,1.0,0.12309149097933275,0
89,010101110,1,0,18.0,1.0,0.15075567228888181,0
90,010101111,1,0,18.0,1.0,0.12309149097933275,0
91,010110001,2,0,21.5,2.5,0.0304232614454664,0
92,010110010,2,0,17.0,2.0,0.031249999999999993,0
