,encode,ign_len,rep_time,data_block_delta,similarity,data_block_len,top_rep_density,top_rep_variance,top_rep_overlap,label
0,000001011,0,40,0,0.4008918628686366,4.0,0.5,0.0,31,0
1,000001000,0,40,0,0.4008918628686366,4.0,0.5,0.0,31,0
2,000001010,0,40,0,0.4008918628686366,4.0,0.5,0.0,31,0
3,000001001,0,40,0,0.4008918628686366,4.0,0.5,0.0,31,0
4,000001100,0,0,0,0,0,0,0,0,0
5,000001101,0,0,0,0,0,0,0,0,0
6,000001110,0,0,0,0,0,0,0,0,0
7,000001111,0,0,0,0,0,0,0,0,0
8,000010000,0,147,14,0.039073233258228174,1.6575342465753424,0.6033057851239669,0.28133860473963845,79,0
9,000010001,0,147,14,0.039073233258228174,1.6575342465753424,0.6033057851239669,0.28133860473963845,79,0
10,000010010,0,147,14,0.039073233258228174,1.6575342465753424,0.6033057851239669,0.28133860473963845,79,0
11,000010011,0,147,14,0.039073233258228174,1.6575342465753424,0.6033057851239669,0.28133860473963845,79,0
12,000000100,0,0,0,0,0,0,0,0,0
13,000000101,0,0,0,0,0,0,0,0,0
14,000000110,0,0,0,0,0,0,0,0,0
15,000000111,0,0,0,0,0,0,0,0,0
16,000011000,0,40,0,0.4008918628686366,4.0,0.5,0.0,31,0
17,000011010,0,40,0,0.4008918628686366,4.0,0.5,0.0,31,0
18,000011011,0,40,0,0.4008918628686366,4.0,0.5,0.0,31,0
19,000011001,0,40,0,0.4008918628686366,4.0,0.5,0.0,31,0
20,000011100,0,0,0,0,0,0,0,0,0
21,000011101,0,0,0,0,0,0,0,0,0
22,000011110,0,0,0,0,0,0,0,0,0
23,000011111,0,0,0,0,0,0,0,0,0
24,000010100,0,0,0,0,0,0,0,0,0
25,000010101,0,0,0,0,0,0,0,0,0
26,000010110,0,0,0,0,0,0,0,0,0
27,000010111,0,0,0,0,0,0,0,0,0
28,000100100,0,0,0,0,0,0,0,0,0
29,000100101,0,0,0,0,0,0,0,0,0
30,000100110,0,0,0,0,0,0,0,0,0
31,000100111,0,0,0,0,0,0,0,0,0
32,000101000,0,40,0,0.4743416490252569,4.0,0.5,0.0,31,0
33,000101001,0,40,0,0.4743416490252569,4.0,0.5,0.0,31,0
34,000101010,0,40,0,0.4743416490252569,4.0,0.5,0.0,31,0
35,000101011,0,40,0,0.4743416490252569,4.0,0.5,0.0,31,0
36,000101100,0,0,0,0,0,0,0,0,0
37,000101101,0,0,0,0,0,0,0,0,0
38,000101110,0,0,0,0,0,0,0,0,0
39,000101111,0,0,0,0,0,0,0,0,0
40,000000011,0,243,0,1.0,1.0,1.0,0.0,241,0
41,000000001,0,243,0,1.0,1.0,1.0,0.0,241,0
42,000000010,0,243,0,1.0,1.0,1.0,0.0,241,0
43,000110000,0,120,1,0.22360679774997896,1.3361344537815125,0.7484276729559748,0.21849510936356792,78,0
44,000110001,0,120,1,0.22360679774997896,1.3361344537815125,0.7484276729559748,0.21849510936356792,78,0
45,000110010,0,120,1,0.22360679774997896,1.3361344537815125,0.7484276729559748,0.21849510936356792,78,0
46,000110011,0,120,1,0.22360679774997896,1.3361344537815125,0.7484276729559748,0.21849510936356792,78,0
47,000100000,0,160,0,0.30151134457776363,1.0,1.0,0.0,158,0
48,000111000,0,40,0,0.4743416490252569,4.0,0.5,0.0,31,0
49,000111001,0,40,0,0.4743416490252569,4.0,0.5,0.0,31,0
50,000111010,0,40,0,0.4743416490252569,4.0,0.5,0.0,31,0
51,000100011,0,160,0,0.30151134457776363,1.0,1.0,0.0,158,0
52,000111100,0,0,0,0,0,0,0,0,0
53,000111011,0,40,0,0.4743416490252569,4.0,0.5,0.0,31,0
