,encode,ign_len,rep_time,data_block_delta,similarity,data_block_len,top_rep_density,top_rep_variance,top_rep_overlap,label
0,1001,0,205,11,0.06401844,1.828431373,0.54691689,0.844986091,105,0
1,1000,0,205,11,0.06401844,1.828431373,0.54691689,0.844986091,105,0
2,11,0,21,1,0.088388348,7.95,0.125786164,0,0,0
3,1010,0,21,1,0.088388348,7.95,0.125786164,0,0,0
4,10,0,21,1,0.088388348,7.95,0.125786164,0,0,0
5,110,0,21,1,0.088388348,7.95,0.125786164,0,0,0
6,111,0,21,1,0.088388348,7.95,0.125786164,0,0,0
7,1110,0,21,1,0.088388348,7.95,0.125786164,0,0,0
8,1111,0,21,1,0.088388348,7.95,0.125786164,0,0,0
9,1011,0,21,1,0.088388348,7.95,0.125786164,0,0,0
10,10010,0,21,1,0.088388348,7.95,0.125786164,0,0,0
11,10011,0,21,1,0.088388348,7.95,0.125786164,0,0,0
12,100,0,63,5,0.267261242,2.596774194,0.385093168,3.365920077,28,0
13,1101,0,63,5,0.267261242,2.596774194,0.385093168,3.365920077,28,0
14,10111,0,21,1,0.088388348,7.95,0.125786164,0,0,0
15,101,0,63,5,0.267261242,2.596774194,0.385093168,3.365920077,28,0
16,1100,0,63,5,0.267261242,2.596774194,0.385093168,3.365920077,28,0
17,10110,0,21,1,0.088388348,7.95,0.125786164,0,0,0
18,10000,0,200,26,0.048393392,1.296482412,0.771317829,0.138255227,173,0
19,11011,0,21,1,0.088388348,7.95,0.125786164,0,0,0
20,11010,0,21,1,0.088388348,7.95,0.125786164,0,0,0
21,10001,0,200,26,0.048393392,1.296482412,0.771317829,0.138255227,173,0
22,11110,0,21,1,0.088388348,7.95,0.125786164,0,0,0
23,10101,0,63,5,0.267261242,2.596774194,0.385093168,3.365920077,28,0
24,10,1,14,16,0.1875,12.23076923,0.163522013,0,0,0
25,11,1,14,16,0.1875,12.23076923,0.163522013,0,0,0
26,11100,0,63,5,0.267261242,2.596774194,0.385093168,3.365920077,28,0
27,11001,0,132,29,0.045834925,1.969465649,0.507751938,1.193638069,83,0
28,11111,0,21,1,0.088388348,7.95,0.125786164,0,0,0
29,110,1,14,16,0.1875,12.23076923,0.163522013,0,0,0
30,11101,0,63,5,0.267261242,2.596774194,0.385093168,3.365920077,28,0
31,111,1,14,16,0.1875,12.23076923,0.163522013,0,0,0
32,11000,0,132,29,0.045834925,1.969465649,0.507751938,1.193638069,83,0
33,1010,1,14,16,0.1875,12.23076923,0.163522013,0,0,0
34,1011,1,14,16,0.1875,12.23076923,0.163522013,0,0,0
35,100,1,29,29,0.178174161,5.642857143,0.35443038,10.42784257,13,0
36,10100,0,63,5,0.267261242,2.596774194,0.385093168,3.365920077,28,0
37,101,1,29,29,0.178174161,5.642857143,0.35443038,10.42784257,13,0
38,1111,1,14,16,0.1875,12.23076923,0.163522013,0,0,0
39,1110,1,14,16,0.1875,12.23076923,0.163522013,0,0,0
40,1100,1,29,29,0.178174161,5.642857143,0.35443038,10.42784257,13,0
41,1000,1,106,19,0.596284794,3.247619048,0.615835777,6.907964151,67,0
42,1101,1,29,29,0.178174161,5.642857143,0.35443038,10.42784257,13,0
