,encode,ign_len,rep_time,data_block_delta,similarity,data_block_len,top_rep_density,top_rep_variance,top_rep_overlap,label
0,1001,0,76,96,0.023459704,3.146666667,0.31779661,2.51859437,35,0
1,11,0,48,105,0.04017717,4.382978723,0.22815534,7.057877349,25,0
2,10,0,72,86,0.022473329,2.915492958,0.342995169,6.552461366,54,0
3,1000,0,101,25,0.041594517,2.38,0.420168067,0.555404,28,0
4,111,0,26,3,0.176776695,2.88,0.347222222,1.30272,9,0
5,1011,0,27,111,0.076249285,7.076923077,0.141304348,14.99567592,9,0
6,1,0,167,11,0.082199494,1.43373494,0.697478992,0.382801638,148,0
7,1111,0,26,3,0.176776695,2.88,0.347222222,1.30272,9,0
8,1010,0,28,111,0.087705802,6.851851852,0.145945946,15.18742062,10,0
9,1110,0,26,3,0.176776695,2.88,0.347222222,1.30272,9,0
10,110,0,26,3,0.176776695,2.88,0.347222222,1.30272,9,0
11,10011,0,47,21,0.093048421,2.173913043,0.46,0.885756555,25,0
12,10010,0,71,18,0.051298918,1.714285714,0.583333333,4.673760933,54,0
13,10111,0,26,3,0.176776695,2.88,0.347222222,1.30272,9,0
14,101,0,27,20,0.003943002,2.769230769,0.361111111,0.546199363,24,0
15,1101,0,27,20,0.003967879,2.769230769,0.361111111,0.546199363,24,0
16,100,0,38,2,0.21821789,2.027027027,0.493333333,0.919590153,17,0
17,11010,0,27,3,0.176776695,2.807692308,0.356164384,1.43508193,10,0
18,11011,0,26,3,0.176776695,2.88,0.347222222,1.30272,9,0
19,10110,0,26,3,0.176776695,2.88,0.347222222,1.30272,9,0
20,11001,0,57,25,0.005081579,3.464285714,0.288659794,1.411693695,23,0
21,10101,0,27,20,0.003943002,2.769230769,0.361111111,0.546199363,24,0
22,1100,0,38,2,0.21821789,2.027027027,0.493333333,0.919590153,17,0
23,10,1,55,21,0.236433122,1.851851852,1.08,0.781638978,40,0
24,10100,0,38,2,0.21821789,2.027027027,0.493333333,0.919590153,17,0
25,11110,0,26,3,0.176776695,2.88,0.347222222,1.30272,9,0
26,11111,0,26,3,0.176776695,2.88,0.347222222,1.30272,9,0
27,11,1,26,3,0.516397779,2.88,0.694444444,1.30272,9,0
28,110,1,19,0,0.632455532,4,0.5,0,9,1
29,1000,1,63,24,0.146487719,3.790322581,0.527659574,4.29356601,27,0
30,11101,0,27,20,0.003967879,2.769230769,0.361111111,0.546199363,24,0
31,1001,1,40,98,0.068402421,6.025641026,0.331914894,12.39304439,27,0
32,111,1,19,0,0.632455532,4,0.5,0,9,1
33,1010,1,19,0,0.632455532,4,0.75,0,10,1
34,1,1,149,79,0.280336606,1.601351351,1.248945148,0.385838141,142,0
35,1110,1,19,0,0.632455532,4,0.5,0,9,1
36,1011,1,19,0,0.353553391,4,0.5,0,9,0
37,10001,0,125,11,0.009653841,1.572580645,0.635897436,0.538401908,107,0
38,11100,0,38,2,0.21821789,2.027027027,0.493333333,0.919590153,17,0
39,1111,1,19,0,0.353553391,4,0.5,0,9,0
40,10010,1,55,21,0.236433122,1.851851852,1.08,0.781638978,40,0
41,11000,0,84,25,0.005081579,2.337349398,0.427835052,0.569876545,23,0
42,10110,1,19,0,0.353553391,4,0.5,0,9,0
43,101,1,25,0,0.56694671,2,1.5,0,23,0
44,10111,1,19,0,0.353553391,4,0.5,0,9,0
45,1100,1,25,0,0.56694671,2,1.5,0,23,0
46,11011,1,19,0,0.353553391,4,0.5,0,9,0
47,11001,1,27,98,0.068402421,6.692307692,0.298850575,19.47724169,23,0
48,11010,1,19,0,0.353553391,4,0.75,0,10,0
49,10100,1,25,0,0.56694671,2,1.5,0,23,0
50,10101,1,25,0,0.56694671,2,1.5,0,23,0
51,11000,1,49,24,0.146487719,3.979166667,0.502617801,5.409233941,23,0
52,10001,1,108,79,0.146361657,1.785046729,1.120418848,0.593259175,103,0
53,10011,1,26,3,0.516397779,2.88,0.694444444,1.30272,9,0
54,100,1,25,0,0.56694671,2,1.5,0,23,0
55,11111,1,19,0,0.353553391,4,0.5,0,9,0
56,11,2,16,4,0.545544726,4.8,0.625,1.109333333,7,0
57,10,2,41,3,0.848528137,1.825,1.643835616,1.65909375,28,0
58,11110,1,19,0,0.353553391,4,0.5,0,9,0
59,1101,1,25,0,0.56694671,2,1.5,0,23,0
60,110,2,16,4,0.433012702,4.8,0.625,1.109333333,7,0
61,111,2,16,4,0.433012702,4.8,0.625,1.109333333,7,0
62,1,2,143,84,0.327955628,1.661971831,1.805084746,0.422776891,137,0
63,11100,1,25,0,0.56694671,2,1.5,0,23,0
64,1000,2,37,147,0.873001462,6.305555556,0.475770925,15.51305298,26,0
65,11101,1,25,0,0.56694671,2,1.5,0,23,0
66,1010,2,19,0,0.353553391,4,0.75,0,10,0
67,1110,2,16,4,0.433012702,4.8,0.625,1.109333333,7,0
